STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
Himachal Pradesh,Kinnaur,24078,63,0,63,1,29,43,38,3,0,36,6,1,31,2,128,114,311,9,1,2248,41.379999999999995,LOW,green
Himachal Pradesh,Kullu,24078,206,0,206,3,127,166,273,10,0,125,46,10,144,33,525,601,649,59,3,10154,151.64,LOW,green
Himachal Pradesh,Lahaul-Spiti,24078,10,0,10,0,4,11,5,2,0,9,1,0,4,3,22,28,23,5,0,822,6.720000000000001,LOW,green
Himachal Pradesh,Mandi,24078,261,0,261,5,140,470,718,83,0,152,94,7,164,23,1903,947,1040,300,1,22050,262.24,LOW,green
Himachal Pradesh,Shimla,24078,309,0,309,6,233,335,481,43,0,194,126,12,266,49,798,2177,1618,251,5,23949,321.47,MEDIUM,orange
Himachal Pradesh,Sirmaur,24078,128,0,128,6,128,259,329,27,0,106,59,5,144,18,574,610,523,66,3,9415,141.82999999999998,LOW,green
Himachal Pradesh,Solan,24078,137,0,137,7,129,261,237,14,0,106,70,23,152,17,3595,1072,892,76,9,14358,200.5,LOW,green
Himachal Pradesh,Una,24078,100,0,100,3,87,319,156,44,0,111,62,12,109,25,1191,790,639,72,7,10615,144.24999999999997,LOW,green
Jammu & Kashmir,Anantnag,24078,155,0,155,0,867,18,948,417,0,407,491,21,941,166,262,1430,1544,302,26,16464,380.24,MEDIUM,orange
Jammu & Kashmir,Awantipora,24078,52,0,52,0,179,5,243,40,0,154,39,1,187,55,10,374,293,17,4,4686,86.73,LOW,green
Jammu & Kashmir,Bandipora,10050,16,0,16,0,237,3,348,37,0,32,32,4,249,14,5,280,169,34,0,2606,76.53,LOW,green
Jammu & Kashmir,Baramulla,24078,195,0,195,1,920,20,1403,284,0,694,868,25,1027,93,143,1808,1514,273,13,17683,460.1,MEDIUM,orange
Jammu & Kashmir,Border,10015,35,0,35,0,47,12,48,51,0,35,121,1,52,4,63,110,94,14,2,3451,34.57,LOW,green
Jammu & Kashmir,Border District,4013,12,0,12,3,15,7,14,10,0,18,32,0,22,0,24,94,39,2,0,1192,14.510000000000002,LOW,green
Jammu & Kashmir,Budgam,24078,104,0,104,0,712,10,1079,249,0,292,367,38,763,68,32,2078,958,140,4,13673,336.54,MEDIUM,orange
Jammu & Kashmir,Crime Jammu,24078,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,369,0.6799999999999999,LOW,green
Jammu & Kashmir,Crime Kashmir,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,LOW,green
Jammu & Kashmir,Crime Srinagar,22068,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,686,0.32,LOW,green
Jammu & Kashmir,Doda,24078,168,0,168,0,336,121,191,59,0,601,830,5,355,31,234,449,473,212,17,8995,214.69,LOW,green
Jammu & Kashmir,Ganderbal,24078,74,0,74,0,384,15,683,42,0,139,64,10,399,21,41,575,420,108,6,5961,157.10000000000002,LOW,green
Jammu & Kashmir,Handwara,22077,66,0,66,0,269,12,579,61,0,189,387,19,296,29,38,432,240,68,3,4887,139.22000000000003,LOW,green
Jammu & Kashmir,Jammu,24078,290,0,290,64,693,520,347,672,0,284,878,71,735,42,426,5503,2801,199,15,43451,616.9599999999999,MEDIUM,orange
Jammu & Kashmir,Kargil,24078,8,0,8,0,21,3,18,0,0,7,7,2,22,0,2,63,61,17,0,1189,11.350000000000001,LOW,green
Jammu & Kashmir,Kathua,24078,164,0,164,26,232,90,204,105,0,144,293,10,270,17,223,664,635,105,6,12652,164.75,LOW,green
Jammu & Kashmir,Kishtwar,10050,20,0,20,0,106,42,42,8,0,35,98,3,109,2,8,119,89,25,1,1750,39.23,LOW,green
Jammu & Kashmir,Kulgam,24078,107,0,107,0,521,7,542,109,0,291,120,11,566,118,292,657,530,127,4,7745,201.84,LOW,green
Jammu & Kashmir,Kupwara,24078,102,0,102,0,380,26,593,77,0,368,950,10,440,12,74,597,473,145,1,7955,214.42,LOW,green
Jammu & Kashmir,Leh,24078,35,0,35,0,26,1,45,2,0,27,18,2,28,3,14,86,146,0,0,2168,24.23,LOW,green
Jammu & Kashmir,Poonch,24078,161,0,161,0,244,128,234,49,0,504,897,11,272,3,521,518,301,164,1,8981,198.86999999999998,LOW,green
Jammu & Kashmir,Pulwama,24078,79,0,79,3,427,4,317,112,0,338,606,14,480,175,555,1130,610,157,28,8754,220.07999999999998,LOW,green
Jammu & Kashmir,Railways,22065,3,0,3,0,2,0,1,6,0,7,5,2,3,0,0,111,2,2,0,242,6.43,LOW,green
Jammu & Kashmir,Railways Jammu,4023,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,1,0,29,0.41000000000000003,LOW,green
Jammu & Kashmir,Railways Kashmir,4023,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,18,1,0,0,43,0.92,LOW,green
Jammu & Kashmir,Railways Katra,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.08,LOW,green
Jammu & Kashmir,Railways Kmr,2009,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10,0.13,LOW,green
Jammu & Kashmir,Rajouri,24078,295,0,295,23,381,348,294,75,0,459,719,29,408,19,359,663,604,340,9,16348,279.53999999999996,LOW,green
Jammu & Kashmir,Ramban,24078,109,0,109,0,130,4,82,41,0,327,420,7,146,2,103,401,274,123,4,7908,112.92999999999998,LOW,green
Jammu & Kashmir,Reasi,24078,88,0,88,0,132,16,95,47,0,255,421,12,148,9,40,326,198,99,8,5070,100.03999999999999,LOW,green
Jammu & Kashmir,Samba,10050,24,0,24,5,40,23,34,34,0,38,82,1,41,1,18,213,143,16,0,3497,35.0,LOW,green
Jammu & Kashmir,Shopian,10050,31,0,31,0,176,2,299,32,0,28,118,0,180,29,14,503,154,44,2,2578,80.45,LOW,green
Jammu & Kashmir,Sopore,6033,20,0,20,0,106,14,172,31,0,50,151,2,114,16,3,424,219,28,2,1952,63.769999999999996,LOW,green
Jammu & Kashmir,Srinagar,24078,229,0,229,0,1102,267,2462,1188,0,442,1070,28,1265,365,261,5333,3383,359,27,33733,793.61,MEDIUM,orange
Jammu & Kashmir,Udhampur,24078,168,0,168,10,134,82,190,153,0,125,216,8,146,18,118,796,681,45,5,12413,149.19,LOW,green
Jharkhand,Bokaro,24078,465,0,465,259,484,792,146,11,0,718,502,11,555,539,1360,6705,1364,78,320,30448,676.72,MEDIUM,orange
Jharkhand,Chaibasa,24078,483,0,483,39,135,181,135,7,1,1521,487,162,182,242,425,1485,309,51,117,10278,348.73,MEDIUM,orange
Jharkhand,Chatra,24078,170,0,170,164,125,77,20,0,0,437,246,11,167,256,166,1039,266,48,245,10667,179.54,LOW,green
Jharkhand,Deoghar,24078,435,0,435,178,69,379,129,49,12,567,526,41,209,273,2631,2304,1163,76,171,18503,389.14,MEDIUM,orange
Jharkhand,Dhanbad,24078,449,0,449,441,728,452,403,53,0,975,472,134,960,656,2979,8948,2186,98,654,43124,877.1099999999999,HIGH,red
Jharkhand,Dhanbad Rly.,24078,12,0,12,17,13,7,43,0,0,87,1,0,28,212,2,1940,60,0,205,3868,100.78,LOW,green
Jharkhand,Dumka,24078,557,0,557,113,179,534,245,7,4,748,639,53,313,125,2338,2027,690,128,100,16483,425.03,MEDIUM,orange
Jharkhand,Garhwa,24078,321,0,321,168,148,363,82,2,5,603,421,35,243,301,2712,891,421,129,158,14566,288.24,MEDIUM,orange
Jharkhand,Giridih,24078,482,0,482,438,274,579,495,58,5,790,723,26,465,413,1060,3310,1140,144,546,29221,548.4100000000001,MEDIUM,orange
Jharkhand,Godda,24078,521,0,521,68,182,397,131,0,0,587,544,20,410,154,1849,1560,588,108,100,19021,358.04,MEDIUM,orange
Jharkhand,Gumla,24078,498,0,498,12,238,126,102,0,2,1758,542,78,349,454,479,967,292,81,225,10362,358.66,MEDIUM,orange
Jharkhand,Hazaribagh,24078,550,0,550,394,458,662,360,0,0,958,671,88,586,706,2779,5381,1314,162,625,31956,701.5,MEDIUM,orange
Jharkhand,Jamshedpur,24078,606,0,606,159,444,881,382,18,1,1052,1321,112,682,511,4973,9364,1679,155,171,37675,923.23,HIGH,red
Jharkhand,Jamshedpur Rly.,24078,11,0,11,3,19,6,24,0,0,66,3,2,26,86,76,1596,71,1,48,2923,80.49,LOW,green
Jharkhand,Jamtara,24078,238,0,238,64,87,258,122,2,0,223,290,24,152,70,1059,911,306,37,53,7138,186.2,LOW,green
Jharkhand,Khunti,12057,50,0,50,3,29,15,12,1,5,529,73,14,76,97,120,242,26,9,36,2128,68.45,LOW,green
Jharkhand,Koderma,24078,114,0,114,129,110,324,79,4,0,319,327,13,198,185,1116,1114,233,29,211,10322,191.18,LOW,green
Jharkhand,Latehar,24078,162,0,162,40,94,57,42,0,0,495,180,27,166,188,442,734,209,43,285,6075,148.37,LOW,green
Jharkhand,Lohardagga,24078,261,0,261,9,86,210,74,0,0,438,149,26,177,229,524,740,212,53,83,6046,175.36999999999998,LOW,green
Jharkhand,Pakur,24078,467,0,467,28,100,361,95,1,0,396,516,57,176,82,1393,881,170,64,62,8257,260.72,LOW,green
Jharkhand,Palamu,24078,292,0,292,249,244,289,109,10,69,940,914,25,469,484,4385,1825,992,204,323,21289,424.84,MEDIUM,orange
Jharkhand,Ramgarh,12057,118,0,118,47,120,128,50,4,1,210,75,7,158,144,636,1503,171,22,90,6336,154.44,LOW,green
Jharkhand,Ranchi,24078,791,5,786,145,475,729,400,11,37,2618,1282,130,992,1769,4364,12276,1963,161,759,50140,1210.06,HIGH,red
Jharkhand,Sahebganj,24078,549,0,549,63,225,334,184,3,2,626,588,35,385,136,1207,1183,320,75,61,10561,338.24,MEDIUM,orange
Jharkhand,Saraikela,24078,301,0,301,54,107,224,88,2,0,644,556,79,210,220,819,1953,401,11,142,10538,281.81000000000006,LOW,green
Jharkhand,Simdega,24078,256,0,256,7,109,44,33,4,1,755,222,21,142,179,343,443,134,45,116,4426,164.67000000000002,LOW,green
Karnataka,Bagalkot,24078,86,0,86,37,126,712,604,11,2,537,387,30,219,137,3398,1561,983,104,55,24722,312.13,MEDIUM,orange
Karnataka,Bangalore Commr.,24078,642,1,641,552,947,3832,2630,407,0,2831,4067,54,3014,6740,37973,105434,19968,48,529,350347,6544.36,HIGH,red
Karnataka,Bangalore Rural,24078,266,0,266,284,175,1149,1041,2,0,1579,894,33,430,739,10804,9055,4268,260,264,77461,1023.72,HIGH,red
Karnataka,Belgaum,24078,280,0,280,107,330,2342,1576,41,0,1402,1022,22,513,654,11119,5130,2948,268,138,73697,945.6600000000001,HIGH,red
Karnataka,Bellary,24078,150,0,150,99,173,803,729,2,1,646,537,7,233,303,6220,3519,1811,131,52,41853,499.21000000000004,MEDIUM,orange
Karnataka,Bidar,24078,105,0,105,86,172,832,712,23,0,472,602,31,253,299,11718,2313,1802,209,59,45398,491.43000000000006,MEDIUM,orange
Karnataka,Bijapur,24078,155,0,155,36,225,1392,883,0,10,736,638,19,338,262,7409,1739,1518,193,60,37987,499.28999999999996,MEDIUM,orange
Karnataka,Cbpura,10050,55,0,55,44,85,229,225,4,0,228,210,37,119,117,1856,1329,620,0,19,11337,176.37,LOW,green
Karnataka,Chamarajnagar,24078,88,0,88,46,55,387,527,0,1,307,248,7,82,70,5348,1495,810,55,31,18501,259.93,LOW,green
Karnataka,Chickmagalur,24078,159,0,159,56,114,1035,692,59,5,398,412,33,178,203,9579,2507,1832,76,61,34702,478.05999999999995,MEDIUM,orange
Karnataka,Chitradurga,24078,229,0,229,73,177,648,954,2,0,439,282,28,226,256,9739,2749,1454,89,48,44979,482.28999999999996,MEDIUM,orange
Karnataka,Dakshin Kannada,24078,127,0,127,20,70,489,479,39,0,386,429,8,132,290,5393,2768,2343,235,66,42281,393.52,MEDIUM,orange
Karnataka,Davanagere,24078,171,0,171,106,174,1092,873,25,0,422,270,55,221,344,6103,3296,1949,10,59,36167,505.12,MEDIUM,orange
Karnataka,Dharwad Commr.,24078,40,0,40,31,137,426,135,25,0,226,256,1,209,561,2179,3647,1596,75,40,23763,328.65999999999997,MEDIUM,orange
Karnataka,Dharwad Rural,24078,44,0,44,26,38,198,250,0,0,323,221,16,87,63,1762,668,371,18,28,13068,134.49,LOW,green
Karnataka,Gadag,24078,44,0,44,28,41,313,357,2,0,246,193,7,83,70,1923,822,627,42,37,12421,159.63,LOW,green
Karnataka,Gulbarga,24078,306,1,305,95,431,1534,1264,7,0,1182,1202,29,588,677,13278,3444,2558,548,113,57080,824.2600000000001,MEDIUM,orange
Karnataka,Hassan,24078,209,0,209,123,150,1213,965,2,3,755,746,24,266,560,15135,4009,2747,143,101,57541,716.84,MEDIUM,orange
Karnataka,Haveri,24078,75,0,75,30,40,445,540,0,0,283,218,22,166,97,3363,1358,905,0,58,25128,237.32,LOW,green
Karnataka,K.G.F.,24078,64,0,64,57,63,246,181,2,0,167,215,12,104,104,2930,1259,780,0,12,10857,184.41,LOW,green
Karnataka,Kodagu,24078,129,0,129,30,55,413,311,12,0,352,345,17,96,89,5979,1132,1352,34,24,19045,274.03,LOW,green
Karnataka,Kolar,24078,188,0,188,157,190,426,401,3,0,691,617,38,295,258,6032,3503,1453,0,53,33454,462.22,MEDIUM,orange
Karnataka,Koppal,24078,102,0,102,38,92,556,314,4,0,285,220,75,161,108,2440,1124,931,22,60,19152,231.58000000000004,LOW,green
Karnataka,Mandya,24078,256,0,256,131,182,1354,915,3,1,756,684,14,252,407,12973,4496,2710,192,72,57125,731.21,MEDIUM,orange
Karnataka,Mangalore City,4023,28,0,28,1,8,91,56,3,3,50,38,0,24,99,410,471,247,16,1,5300,55.45,LOW,green
Karnataka,Mysore Commr.,24078,124,0,124,73,142,960,218,1,21,343,447,10,193,1290,3617,6727,1836,0,44,31459,571.4399999999999,MEDIUM,orange
Karnataka,Mysore Rural,24078,200,0,200,123,158,1141,1053,2,0,696,509,14,252,205,10660,3007,2174,0,61,39229,587.98,MEDIUM,orange
Karnataka,Raichur,24078,195,0,195,64,192,1301,1022,33,0,535,456,60,262,142,6592,1575,1234,91,44,33624,459.61,MEDIUM,orange
Karnataka,Railways,24078,5,0,5,11,2,3,17,1,0,188,27,3,21,259,205,5333,35,1,29,7587,238.94,LOW,green
Karnataka,Ramanagar,10050,78,0,78,87,143,319,398,0,0,399,312,11,190,357,2980,2382,1214,185,65,21771,304.65999999999997,MEDIUM,orange
Karnataka,Shimoga,24078,195,0,195,58,216,2273,1119,42,0,584,619,21,298,535,12751,3982,2521,145,86,55397,759.74,MEDIUM,orange
Karnataka,Tumkur,24078,208,0,208,176,108,803,1090,2,0,914,682,48,284,572,10624,5543,3029,323,127,55937,729.4,MEDIUM,orange
Karnataka,Udupi,24078,75,0,75,11,26,295,305,12,0,221,174,14,89,255,3512,1397,1533,56,47,27894,227.51000000000002,LOW,green
Karnataka,Uttar Kannada,24078,73,0,73,17,58,625,632,48,0,284,224,57,83,150,4345,982,974,104,32,30179,255.32,LOW,green
Karnataka,Yadgiri,6033,23,0,23,5,20,175,231,12,0,74,109,0,68,15,983,204,165,38,6,4620,69.15,LOW,green
Kerala,Alapuzha,24078,300,0,300,16,132,2680,2186,226,0,250,337,50,185,396,15835,3049,2405,255,67,94788,815.13,MEDIUM,orange
Kerala,Cbcid,14028,7,0,7,1,2,21,0,0,0,110,30,6,8,9,19,45,47,36,13,1339,16.269999999999996,LOW,green
Kerala,Ernakulam,4003,65,0,65,4,16,340,332,9,0,80,147,25,32,199,3509,2423,1241,49,52,30516,247.88,LOW,green
Kerala,Ernakulam Commr.,20075,204,0,204,8,54,1055,746,151,0,136,159,68,104,398,4836,3572,1689,56,73,104786,449.90999999999997,MEDIUM,orange
Kerala,Ernakulam Rural,20075,297,0,297,15,83,1473,1269,168,0,266,241,99,118,452,9241,3500,2172,127,74,122473,604.95,MEDIUM,orange
Kerala,Idukki,24078,366,0,366,7,67,1930,1668,149,0,299,276,19,85,200,16106,2405,2000,146,47,62789,687.9300000000001,MEDIUM,orange
Kerala,Kannur,24078,419,0,419,2,89,3036,1400,140,0,264,438,59,144,609,13662,2424,2687,640,78,71381,799.2399999999999,MEDIUM,orange
Kerala,Kasargod,24078,480,0,480,6,51,1775,944,87,0,193,229,49,113,264,9271,1831,1750,360,66,41110,561.5500000000001,MEDIUM,orange
Kerala,Kollam,20055,558,0,558,28,182,4043,3035,81,0,381,337,395,238,473,22084,4035,3284,434,87,97571,1179.42,HIGH,red
Kerala,Kollam Commr.,4023,97,0,97,5,38,655,363,60,0,35,82,9,42,78,2148,439,237,32,7,13431,153.84,LOW,green
Kerala,Kollam Rural,4023,95,0,95,1,24,624,525,28,0,59,53,8,27,54,2909,329,267,44,3,12517,159.66000000000003,LOW,green
Kerala,Kottayam,24078,394,0,394,10,149,2170,2310,343,0,257,264,57,204,549,20453,4085,3594,190,53,97779,929.0799999999999,HIGH,red
Kerala,Kozhikode,4003,92,0,92,2,11,662,253,20,0,55,74,26,17,42,2184,997,927,458,31,17140,195.35,LOW,green
Kerala,Kozhikode Commr.,20075,169,0,169,16,57,1520,721,334,0,79,123,52,104,588,5419,3073,2248,133,44,40216,487.26,MEDIUM,orange
Kerala,Kozhikode Rural,20075,350,0,350,20,106,2662,1314,138,0,110,212,101,141,192,9826,1959,1757,610,35,53302,642.27,MEDIUM,orange
Kerala,Malappuram,24078,691,0,691,13,79,6322,1685,212,0,255,315,118,170,370,10480,4398,3618,292,93,98239,1199.52,HIGH,red
Kerala,Palakkad,24078,638,0,638,38,77,3624,1312,122,0,489,406,156,141,377,14881,3157,2883,396,95,80723,945.69,HIGH,red
Kerala,Pathanamthitta,24078,262,0,262,8,110,1612,1649,146,0,253,189,93,128,263,12603,2042,1883,206,22,57475,589.84,MEDIUM,orange
Kerala,Railways,24078,2,0,2,0,2,0,121,39,0,10,3,2,7,46,265,2240,24,0,3,3262,102.84,LOW,green
Kerala,Thrissur,20055,410,0,410,22,100,2836,1905,225,0,388,497,224,191,724,12523,4345,2752,295,134,101593,892.55,HIGH,red
Kerala,Thrissur Commr.,4023,63,0,63,0,19,277,211,60,0,17,31,18,25,56,699,308,130,17,8,11122,78.82,LOW,green
Kerala,Thrissur Rural,4023,115,0,115,3,21,810,481,64,0,42,90,24,24,74,1726,453,316,65,9,24889,174.06,LOW,green
Kerala,Trivandrum,4003,113,0,113,8,45,524,749,18,0,111,148,15,77,242,4986,1489,1314,144,59,24058,283.49,LOW,green
Kerala,Trivandrum Commr.,20075,260,0,260,9,131,1177,1684,205,0,119,255,45,213,852,9030,4583,2409,136,86,57030,649.6100000000001,MEDIUM,orange
Kerala,Trivandrum Rural,20075,606,0,606,42,213,3097,3885,173,0,334,303,140,291,685,19441,3735,3480,348,94,87612,1124.67,HIGH,red
Kerala,Wayanadu,24078,394,0,394,17,40,1149,742,106,0,141,88,39,62,137,8315,1437,1257,111,31,30318,424.15999999999997,MEDIUM,orange
Lakshadweep,Lakshadweep,24078,7,0,7,0,1,7,5,0,0,3,6,0,1,0,57,113,36,22,3,743,9.55,LOW,green
Madhya Pradesh,Alirajpur,10050,145,0,145,3,61,28,136,2,0,319,208,2,63,44,1402,356,191,59,6,6449,113.61,LOW,green
Madhya Pradesh,Anuppur,20075,390,0,390,66,49,350,657,37,0,281,98,5,59,131,2147,990,911,61,16,13866,276.27000000000004,LOW,green
Madhya Pradesh,Ashok Nagar,20075,466,0,466,86,55,339,1091,76,0,288,261,47,65,123,8174,1334,1007,106,12,22932,404.03000000000003,MEDIUM,orange
Madhya Pradesh,Balaghat,24078,807,0,807,76,78,617,1548,160,0,675,309,41,98,173,4770,1943,1687,163,16,32210,566.94,MEDIUM,orange
Madhya Pradesh,Barwani,24078,467,0,467,40,58,203,970,101,0,486,292,25,64,144,3944,2285,1044,99,14,25039,392.4200000000001,MEDIUM,orange
Madhya Pradesh,Betul,24078,1524,1,1523,185,228,738,1865,147,0,736,441,15,253,209,4851,2504,1856,187,11,37200,821.74,MEDIUM,orange
Madhya Pradesh,Bhind,24078,388,0,388,403,174,627,870,49,0,835,1161,47,291,771,10526,2922,1991,184,51,42889,657.3199999999999,MEDIUM,orange
Madhya Pradesh,Bhopal,24078,1272,0,1272,278,496,1967,2448,623,3,821,1099,31,610,1839,13023,25093,11236,208,48,169575,2292.31,HIGH,red
Madhya Pradesh,Bhopal Rly.,24078,20,0,20,16,9,11,137,34,0,54,42,5,17,239,70,12301,124,7,12,16507,523.22,MEDIUM,orange
Madhya Pradesh,Burhanpur,20075,174,0,174,45,22,215,478,87,0,146,101,3,23,61,1382,1075,441,38,50,12453,175.93,LOW,green
Madhya Pradesh,Chhatarpur,24078,744,0,744,264,248,745,2166,152,0,717,822,34,305,579,6614,2739,3472,262,28,51353,778.7,MEDIUM,orange
Madhya Pradesh,Chhindwara,24078,1345,0,1345,160,187,1344,2384,376,0,846,385,48,213,209,15147,3134,2164,227,14,52310,998.53,HIGH,red
Madhya Pradesh,Damoh,24078,567,0,567,310,137,828,1865,0,0,565,684,0,195,284,14382,1828,1640,177,16,34789,679.71,MEDIUM,orange
Madhya Pradesh,Datiya,24078,287,0,287,122,131,333,787,0,0,603,617,0,226,449,4920,1750,1204,128,16,27410,393.7900000000001,MEDIUM,orange
Madhya Pradesh,Dewas,24078,993,0,993,174,219,1746,2240,552,0,584,886,11,311,509,5190,8570,3117,378,92,71266,1119.6,HIGH,red
Madhya Pradesh,Dhar,24078,1124,0,1124,521,365,923,2152,219,0,961,918,27,403,410,7431,6357,2738,380,75,63019,1072.9,HIGH,red
Madhya Pradesh,Dindori,24078,370,0,370,26,22,201,687,45,0,243,62,28,27,27,1381,340,451,39,2,10464,199.76,LOW,green
Madhya Pradesh,Guna,24078,976,0,976,102,129,632,2157,199,2,555,488,65,148,345,12060,3345,2533,228,48,46692,807.3000000000002,MEDIUM,orange
Madhya Pradesh,Gwalior,24078,816,0,816,347,617,1852,1967,161,0,1143,1744,209,833,2055,12847,18722,11163,250,100,111206,1971.47,HIGH,red
Madhya Pradesh,Harda,24078,363,0,363,65,72,190,520,91,0,209,202,0,87,123,4438,1319,817,44,8,13912,287.96,LOW,green
Madhya Pradesh,Hoshangabad,24078,745,0,745,152,219,778,1498,205,0,582,627,290,260,452,5446,4138,2751,149,20,41312,741.1600000000001,MEDIUM,orange
Madhya Pradesh,Indore,24078,1255,0,1255,359,460,3918,3535,860,5,1339,1810,40,625,2326,20260,40882,11729,507,73,204398,3307.3500000000004,HIGH,red
Madhya Pradesh,Indore Rly.,24078,22,0,22,3,7,2,52,7,0,35,20,11,7,70,86,2189,24,0,2,3687,102.94,LOW,green
Madhya Pradesh,Jabalpur,24078,1285,0,1285,479,348,1802,3086,852,3,1008,1597,58,484,1174,35159,11348,6035,240,19,119446,1859.55,HIGH,red
Madhya Pradesh,Jabalpur Rly.,24078,22,0,22,4,8,1,68,16,0,34,18,12,10,171,86,3860,49,1,6,5963,173.83,LOW,green
Madhya Pradesh,Jhabua,24078,435,0,435,31,375,159,878,18,0,979,713,31,423,216,6008,1984,1132,392,35,29024,485.1,MEDIUM,orange
Madhya Pradesh,Katni,24078,536,0,536,202,75,726,1525,147,0,462,333,30,109,220,12077,2345,1802,103,10,33916,609.89,MEDIUM,orange
Madhya Pradesh,Khandwa,24078,717,0,717,91,174,531,2005,251,0,401,457,5,197,192,691,3697,3248,133,43,41293,645.85,MEDIUM,orange
Madhya Pradesh,Khargon,24078,668,0,668,252,145,518,1857,276,1,513,471,78,162,222,4811,6350,2271,151,36,48202,770.79,MEDIUM,orange
Madhya Pradesh,Mandla,24078,644,0,644,45,72,349,1162,135,0,364,180,12,77,78,3946,870,1098,69,5,22636,387.02000000000004,MEDIUM,orange
Madhya Pradesh,Mandsaur,24078,521,0,521,80,162,748,1436,143,11,383,419,2,251,377,3296,4360,1967,233,26,37672,605.24,MEDIUM,orange
Madhya Pradesh,Morena,24078,450,0,450,349,245,782,1030,31,0,711,1165,32,365,681,18405,5222,2625,148,123,60288,874.6800000000001,HIGH,red
Madhya Pradesh,Narsinghpur,24078,733,0,733,232,67,594,1608,204,0,483,509,28,82,173,12632,1776,1281,208,5,30779,626.76,MEDIUM,orange
Madhya Pradesh,Neemuch,24078,301,0,301,32,81,602,694,131,9,210,194,14,143,205,4930,3381,1850,115,18,25263,438.25,MEDIUM,orange
Madhya Pradesh,Panna,24078,433,0,433,194,58,352,964,31,1,393,294,12,114,197,2157,1085,1451,126,20,21413,357.07000000000005,MEDIUM,orange
Madhya Pradesh,Raisen,24078,1021,0,1021,200,165,676,2200,127,0,546,667,16,205,238,8639,2705,1472,118,17,43662,747.17,MEDIUM,orange
Madhya Pradesh,Rajgarh,24078,1023,0,1023,87,217,1006,2116,356,0,403,564,10,277,377,4548,4082,1996,692,60,54255,802.9000000000001,MEDIUM,orange
Madhya Pradesh,Ratlam,24078,878,0,878,100,200,905,1541,270,0,516,548,13,246,388,5616,4525,1821,238,25,43683,750.38,MEDIUM,orange
Madhya Pradesh,Rewa,24078,752,0,752,403,267,850,1404,141,9,648,486,15,380,691,8805,5514,6329,312,47,57608,976.0900000000001,HIGH,red
Madhya Pradesh,Sagar,24078,1502,0,1502,403,468,1733,4603,247,0,951,1254,12,525,601,31377,6091,4879,447,18,95017,1655.3000000000002,HIGH,red
Madhya Pradesh,Satna,24078,986,0,986,368,139,1097,2196,99,0,807,615,20,262,580,11530,5388,4787,278,45,62648,1051.65,HIGH,red
Madhya Pradesh,Seoni,24078,708,0,708,137,93,324,1259,164,0,414,257,37,112,117,3916,1530,1311,88,5,29447,459.84000000000003,MEDIUM,orange
Madhya Pradesh,Shahdol,24078,721,0,721,153,138,1058,1906,104,0,492,233,22,155,332,3286,2808,2982,171,18,38499,664.4200000000001,MEDIUM,orange
Madhya Pradesh,Shajapur,24078,826,0,826,112,143,745,1782,307,0,436,537,25,192,572,13539,6032,2527,341,40,43219,894.5799999999999,HIGH,red
Madhya Pradesh,Sheopur,24078,215,0,215,36,43,256,489,6,0,180,236,2,107,120,3984,981,589,35,20,14570,225.66,LOW,green
Madhya Pradesh,Shivpuri,24078,896,0,896,159,205,511,1715,54,0,814,700,27,333,471,9903,3171,2177,326,61,51018,763.6500000000001,MEDIUM,orange
Madhya Pradesh,Sidhi,24078,557,0,557,263,308,569,1407,45,0,517,200,26,332,216,5634,2839,3021,153,26,39209,623.3700000000001,MEDIUM,orange
Madhya Pradesh,Sihore,24078,806,0,806,107,225,619,1222,159,1,401,566,12,250,220,4501,4132,2259,220,37,41929,672.36,MEDIUM,orange
Madhya Pradesh,Singrauli,10050,206,0,206,79,107,306,474,12,0,174,73,18,114,46,1610,684,520,32,19,10813,193.31,LOW,green
Madhya Pradesh,Tikamgarh,24078,702,0,702,225,116,436,1617,48,14,548,427,29,169,355,11418,2027,1820,270,27,37897,630.71,MEDIUM,orange
Madhya Pradesh,Ujjain,24078,838,0,838,167,360,2034,2128,453,1,784,1715,15,459,1100,8987,14189,5944,419,68,97841,1524.39,HIGH,red
Madhya Pradesh,Umariya,24078,308,0,308,42,17,270,759,55,0,243,104,215,31,125,1704,976,1054,91,9,15583,254.24,LOW,green
