STATE,DISTRICT,YEAR,RAPE,CUSTODIAL RAPE,OTHER RAPE,DOWRY DEATHS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,CRUELTY BY HUSBAND OR HIS RELATIVES,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,KIDNAPPING & ABDUCTION,ROBBERY,HURT/GREVIOUS HURT,THEFT,BURGLARY,ARSON,DACOITY,TOTAL IPC CRIMES,RISK_SCORE,RISK_LEVEL,MARKER_COLOR
Chhattisgarh,Dantewara,24078,136,0,136,7,60,50,143,9,0,790,696,1,93,39,652,608,551,135,146,8092,179.48000000000002,LOW,green
Chhattisgarh,Dhamtari,24078,334,0,334,19,67,168,667,85,0,194,112,1,83,69,1050,1435,1432,57,18,16040,264.83000000000004,LOW,green
Chhattisgarh,Durg,24078,1402,0,1402,148,368,1491,2835,329,1,898,682,24,490,703,5234,10102,6527,337,46,87167,1408.8899999999999,HIGH,red
Chhattisgarh,Gariyaband,4023,40,0,40,6,3,14,58,6,0,41,27,2,10,7,534,113,87,15,5,1518,30.98,LOW,green
Chhattisgarh,Grp Raipur,24078,19,0,19,4,14,13,35,6,0,38,23,3,16,51,141,2663,79,3,3,4007,124.37,LOW,green
Chhattisgarh,Jagdalpur,24078,743,0,743,18,139,210,553,25,0,777,432,13,163,192,3897,1648,1680,117,101,24443,458.01000000000005,MEDIUM,orange
Chhattisgarh,Janjgir,24078,462,0,462,133,96,1126,1220,128,0,564,330,9,124,307,6806,3251,2557,217,24,31993,619.92,MEDIUM,orange
Chhattisgarh,Jashpur,24078,713,0,713,16,190,186,554,36,0,656,196,21,263,271,1222,943,878,86,62,12327,363.83000000000004,MEDIUM,orange
Chhattisgarh,Kabirdham,22077,268,0,268,22,51,256,670,56,0,176,134,17,65,55,4922,993,879,64,5,13753,259.13,LOW,green
Chhattisgarh,Kanker,24078,314,0,314,19,71,153,325,25,0,487,375,5,102,123,514,689,697,152,167,11795,216.93,LOW,green
Chhattisgarh,Kawardha,2001,35,0,35,1,0,15,45,4,0,19,12,2,1,2,167,43,69,4,1,685,18.7,LOW,green
Chhattisgarh,Kondagaon,2012,11,0,11,0,0,2,4,3,0,21,8,0,7,0,126,23,20,2,0,537,7.550000000000001,LOW,green
Chhattisgarh,Korba,24078,433,0,433,65,74,459,896,93,0,491,153,13,89,250,6154,3288,2073,110,30,28108,497.05000000000007,MEDIUM,orange
Chhattisgarh,Koriya,24078,646,0,646,26,96,471,1009,36,1,433,234,9,105,125,4507,1516,2013,103,38,18734,454.9200000000001,MEDIUM,orange
